    2                                                         ,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.
    3                                                         ,           S,           S,           S,.,.,.,.,           S,           S,.,.,           S,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,           S,.,           S,.,.,           S,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
    4 or more                                                 ,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,           S,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,.,           S,.,.,.,           S,.,.,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,.,.,.,.,.,           S,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Heating Problems                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
        With heating equipment and occupied last winter       ,"3,423.3","2,114.6",911.8,           S,307.6,           S,52.1,"2,039.4","1,472.5",194.7,34.0,293.9,           S,30.3,"1,086.6",641.1,333.3,           S,77.3,           S,           S,857.3,555.5,238.1,           S,50.1,           S,           S,756.5,462.0,218.7,14.6,47.8,           S,           S,606.1,326.7,238.5,           S,31.5,           S,719.0,337.8,276.8,           S,71.4,           S,           S,775.5,546.9,211.0,           S,10.4,           S,           S,668.3,305.6,315.8,           S,26.2,           S,           S,647.8,465.8,102.2,           S,55.5,           S,15.4,688.4,407.2,87.0,15.1,157.0,           S,15.9,493.6,378.3,63.9,13.6,29.0,           S,           S,430.6,337.8,52.9,           S,22.3,           S,           S,446.9,223.1,191.2,           S,18.2,           S,10.4,477.1,342.8,61.4,           S,49.6,           S,9.9
Not uncomfortably cold for 24 hours or more                   ,"3,062.6","1,909.1",797.0,           S,280.2,           S,46.0,"1,905.6","1,373.9",176.9,31.7,278.7,           S,30.3,963.0,560.2,297.2,           S,75.3,           S,           S,817.1,530.4,225.4,           S,49.1,           S,           S,726.6,442.7,210.4,14.6,47.8,           S,           S,546.5,303.1,202.5,           S,31.5,           S,647.5,311.3,242.0,           S,68.1,           S,           S,760.2,536.9,205.8,           S,10.4,           S,           S,633.5,293.8,296.6,           S,25.1,           S,           S,582.7,431.0,83.4,           S,47.2,           S,           S,633.2,371.4,76.0,14.0,150.4,           S,15.1,475.8,363.9,60.4,13.6,29.0,           S,           S,404.6,319.1,48.7,           S,20.5,           S,           S,398.1,205.7,162.4,           S,16.9,           S,           S,440.3,314.8,57.9,           S,45.7,           S,9.3
Uncomfortably cold for 24 hours or more3             ,360.6,205.5,114.8,           S,           S,.,           S,133.9,98.6,           S,           S,           S,.,.,123.6,80.9,36.1,           S,           S,.,.,40.2,25.1,           S,           S,           S,.,.,29.9,19.3,           S,.,.,.,           S,59.6,23.6,36.0,.,.,.,71.5,26.5,34.8,           S,           S,.,           S,15.3,10.0,           S,.,.,.,.,34.9,11.8,19.1,           S,           S,.,           S,65.1,34.8,18.8,           S,           S,.,           S,55.2,35.9,11.0,           S,           S,.,           S,17.9,14.4,           S,.,.,.,.,26.0,18.8,           S,           S,           S,           S,.,48.8,17.4,28.9,.,           S,           S,           S,36.7,28.0,           S,           S,           S,.,           S
  Equipment breakdowns                                        ,213.6,131.5,70.1,.,           S,.,           S,50.6,40.4,           S,.,           S,.,.,54.8,38.9,           S,.,.,.,.,23.0,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,           S,29.3,           S,           S,.,.,.,35.8,           S,24.6,.,           S,.,           S,           S,           S,           S,.,.,.,.,9.8,           S,           S,.,           S,.,.,29.8,17.9,           S,.,           S,.,           S,15.6,10.2,           S,.,           S,.,           S,12.8,10.3,           S,.,.,.,.,9.3,           S,           S,           S,.,           S,.,18.9,6.4,12.2,.,.,           S,.,10.8,           S,           S,.,           S,.,.
    No breakdowns lasting 6 hours or more                     ,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,           S,.,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,           S,.,.,.,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.
    Number of breakdowns that lasted 6 hours or more:         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
      1                                                       ,69.7,47.6,           S,.,.,.,.,23.2,           S,           S,.,.,.,.,27.8,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,.,.,.,.,.,           S,.,           S,.,           S,.,.,15.3,           S,.,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,           S,.,           S,.,9.6,           S,           S,.,.,           S,.,           S,           S,           S,.,           S,.,.
      2                                                       ,59.0,           S,           S,.,           S,.,           S,           S,           S,.,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,           S,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.
      3                                                       ,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,.,           S,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.
      4 or more                                               ,68.8,           S,           S,.,           S,.,           S,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,           S,           S,           S,           S,.,           S,.,           S,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.
  Other causes2                                      ,147.0,74.0,           S,           S,           S,.,           S,83.2,58.2,           S,           S,           S,.,.,68.8,42.1,           S,           S,           S,.,.,17.2,           S,           S,.,           S,.,.,14.5,           S,           S,.,.,.,.,30.3,           S,           S,.,.,.,35.6,17.5,           S,           S,           S,.,           S,           S,           S,           S,.,.,.,.,25.0,           S,12.7,           S,.,.,           S,35.2,16.8,           S,           S,           S,.,           S,39.6,25.7,6.9,           S,           S,.,           S,           S,           S,           S,.,.,.,.,16.7,12.1,           S,.,           S,.,.,29.9,11.0,16.7,.,           S,.,           S,26.0,20.8,           S,           S,           S,.,           S
    Utility interruption                                      ,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,.,.,           S,.,.,.,.,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,9.6,           S,           S,.,           S,.,.,           S,           S,.,           S,           S,.,.
    Inadequate heating capacity                               ,65.4,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,12.3,           S,           S,           S,.,.,           S,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,           S,.,           S,.,.,10.9,           S,           S,           S,           S,.,.,.,.,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.
    Inadequate insulation                                     ,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,.,21.2,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,           S,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,           S,.,.,.,8.7,           S,           S,.,.,.,.,.,.,.,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,           S,           S,           S,           S,.,.,.,.
    Cost of heating                                           ,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,.,           S,.,.,.,           S,.,           S,           S,.,.,           S,.,.,.,.,.,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,           S,           S,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,           S,.,.
    Other                                                     ,           S,           S,           S,           S,           S,.,.,41.2,28.4,           S,           S,           S,.,.,27.3,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,12.3,8.7,           S,.,           S,.,           S,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,.,.,.,.,           S
    Not reported                                              ,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,.,.,           S,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,           S,           S,           S,.,           S,.,           S,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,           S,           S,           S,           S,.,           S,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Electric Fuses and Circuit Breakers                           ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
      With electrical wiring                                  ,"3,722.8","2,292.7",989.3,           S,351.5,           S,52.1,"2,309.4","1,659.2",214.2,42.2,341.3,           S,38.4,"1,237.3",736.6,371.3,25.2,82.7,           S,           S,"1,075.5",687.9,294.1,           S,71.9,           S,           S,898.5,546.9,259.1,14.6,61.4,           S,15.6,716.7,390.7,277.0,           S,36.4,           S,852.5,418.4,309.2,16.6,86.4,           S,17.2,874.1,613.0,238.7,           S,13.1,           S,           S,795.3,351.2,380.3,           S,39.8,           S,           S,753.7,544.9,114.8,           S,68.7,           S,16.0,778.4,452.1,97.1,17.3,186.7,           S,16.7,606.7,465.9,77.4,16.4,35.5,           S,           S,478.1,374.0,62.4,           S,22.8,           S,           S,494.0,244.5,210.8,           S,21.9,           S,11.7,595.8,421.0,78.6,10.3,68.9,           S,11.2
No fuses or breakers blown in last 3 months                   ,"3,559.6","2,175.3",966.9,           S,338.2,           S,51.5,"2,163.3","1,563.3",192.3,42.2,323.3,           S,30.4,"1,160.8",686.4,351.7,25.2,82.7,           S,           S,996.7,632.9,274.2,           S,70.3,           S,           S,848.1,514.9,247.2,           S,58.8,           S,           S,665.1,356.3,261.8,           S,34.5,           S,779.4,379.5,282.3,15.7,82.6,           S,           S,848.3,596.9,230.0,           S,13.1,           S,           S,732.3,320.7,350.2,           S,38.0,           S,           S,700.4,505.5,109.6,           S,63.6,           S,           S,718.2,411.3,88.9,15.8,180.2,           S,13.5,548.5,420.8,69.9,15.7,31.4,           S,           S,445.2,348.1,57.1,           S,22.2,           S,           S,453.7,223.7,193.7,           S,20.6,           S,11.7,538.0,374.2,74.2,9.3,64.0,           S,11.2
With fuses or breakers blown in last 3 months                 ,163.2,117.4,           S,           S,           S,.,           S,146.2,96.0,22.0,.,           S,           S,           S,76.5,50.2,           S,.,.,           S,           S,78.7,55.1,19.8,.,           S,           S,           S,50.4,32.0,           S,           S,           S,.,           S,51.5,34.4,15.2,.,           S,.,73.1,38.9,26.9,           S,           S,           S,           S,25.8,16.1,           S,.,.,.,           S,63.0,30.4,30.0,           S,           S,.,.,53.3,39.4,           S,           S,           S,.,           S,60.1,40.8,8.2,           S,           S,.,           S,58.2,45.1,           S,           S,           S,.,           S,32.8,25.8,           S,           S,           S,.,           S,40.3,20.9,17.1,           S,           S,           S,.,57.8,46.8,           S,           S,           S,           S,.
  1 time                                                      ,53.8,           S,           S,           S,           S,.,.,80.0,49.3,           S,.,           S,           S,           S,31.0,           S,           S,.,.,           S,           S,33.0,24.7,           S,.,.,.,           S,28.5,20.4,           S,.,           S,.,.,31.6,           S,           S,.,           S,.,38.8,24.0,           S,           S,           S,           S,           S,11.3,           S,           S,.,.,.,.,26.4,13.6,           S,.,.,.,.,29.8,19.9,           S,.,           S,.,           S,33.3,23.5,           S,           S,           S,.,           S,29.7,19.7,           S,           S,           S,.,.,16.2,13.0,           S,           S,.,.,.,16.8,8.2,           S,           S,           S,           S,.,33.6,25.0,           S,           S,           S,           S,.
  2 times                                                     ,           S,           S,           S,.,.,.,.,33.9,27.8,           S,.,.,.,           S,           S,           S,           S,.,.,.,.,24.3,           S,           S,.,           S,           S,.,           S,           S,           S,           S,.,.,           S,           S,           S,           S,.,.,.,15.9,           S,           S,.,.,.,           S,           S,           S,           S,.,.,.,           S,16.8,           S,           S,           S,           S,.,.,           S,           S,.,.,           S,.,.,14.9,           S,           S,.,           S,.,           S,16.1,           S,           S,.,.,.,           S,9.3,7.2,           S,.,           S,.,           S,11.3,           S,           S,.,.,.,.,15.4,13.9,.,.,           S,.,.
  3 times                                                     ,           S,           S,.,           S,           S,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.
  4 times or more                                             ,57.4,50.1,           S,.,           S,.,           S,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,           S,.,.,.,.,15.5,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Water Supply Stoppage                                         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
        With hot and cold piped water                         ,"3,680.7","2,276.0",967.5,           S,347.9,           S,52.1,"2,296.3","1,649.5",212.5,42.2,339.6,           S,38.4,"1,235.0",734.3,371.3,25.2,82.7,           S,           S,"1,076.4",688.8,294.1,           S,71.9,           S,           S,894.2,544.4,257.4,14.6,61.4,           S,15.6,716.7,390.7,277.0,           S,36.4,           S,845.1,417.8,302.4,16.6,86.4,           S,17.2,873.3,612.3,238.7,           S,13.1,           S,           S,795.3,351.2,380.3,           S,39.8,           S,           S,751.2,544.9,114.8,           S,66.2,           S,16.0,774.9,451.2,95.2,17.3,186.0,           S,16.7,605.8,464.9,77.4,16.4,35.5,           S,           S,476.2,372.1,62.4,           S,22.8,           S,           S,493.4,244.5,210.2,           S,21.9,           S,11.7,595.4,420.6,78.6,10.3,68.9,           S,11.2
No stoppage in last 3 months                                  ,"3,534.6","2,187.7",920.3,           S,345.3,           S,51.5,"2,169.9","1,555.4",205.5,40.2,322.6,           S,32.3,"1,174.1",704.8,350.9,25.2,75.8,           S,           S,"1,002.1",639.8,281.3,           S,64.7,           S,           S,825.9,505.2,239.4,           S,54.6,.,           S,691.0,376.9,266.7,           S,36.4,           S,753.3,373.1,275.6,           S,72.9,           S,           S,843.6,597.1,225.1,           S,13.1,           S,           S,758.7,333.2,362.8,           S,38.7,           S,           S,722.9,524.6,110.9,           S,64.8,           S,           S,738.9,432.1,91.3,15.8,177.2,           S,14.6,570.9,440.1,72.0,14.6,33.7,           S,           S,454.1,357.6,58.5,           S,19.6,           S,           S,460.4,228.7,194.6,           S,20.4,           S,11.7,574.1,403.0,76.5,10.3,67.3,           S,11.2
With stoppage in last 3 months                                ,107.2,67.8,           S,           S,           S,.,           S,124.2,92.0,           S,           S,           S,.,           S,52.5,28.2,           S,.,           S,.,           S,74.3,49.0,           S,           S,           S,           S,.,61.3,35.8,16.6,           S,           S,           S,           S,           S,           S,           S,           S,.,.,53.7,25.9,19.6,           S,           S,           S,           S,21.3,10.1,           S,.,.,.,           S,35.0,18.0,16.0,.,           S,.,.,18.2,           S,           S,.,.,.,           S,30.0,16.4,           S,           S,7.4,           S,           S,33.6,23.6,           S,           S,           S,.,           S,17.8,10.8,           S,           S,           S,.,.,13.2,           S,           S,.,           S,.,.,20.8,17.2,           S,.,           S,.,.
  No stoppage lasting 6 hours or more                         ,           S,           S,           S,.,.,.,.,29.4,           S,           S,.,           S,.,           S,           S,           S,           S,.,.,.,           S,23.3,           S,           S,.,           S,           S,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,14.5,           S,           S,           S,           S,.,.,           S,           S,           S,.,.,.,.,10.6,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,.,           S,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,           S,.,.,.,           S,           S,.,.,           S,.,.,           S,           S,.,.,           S,.,.
  Number of stoppages that lasted 6 hours or more:            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
    1                                                         ,           S,           S,           S,           S,           S,.,           S,44.7,36.5,           S,           S,           S,.,.,22.6,           S,           S,.,           S,.,           S,23.7,           S,           S,           S,           S,.,.,29.1,15.8,           S,.,           S,           S,.,           S,           S,           S,.,.,.,19.1,           S,           S,.,           S,.,.,11.8,           S,           S,.,.,.,           S,15.8,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,11.4,           S,           S,           S,           S,           S,.,12.6,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,8.6,           S,           S,.,           S,.,.
    2                                                         ,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,           S,           S,           S,.,           S,           S,           S,.,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.
    3                                                         ,           S,           S,           S,.,.,.,.,           S,           S,.,.,           S,.,           S,           S,           S,           S,.,.,.,.,           S,           S,.,           S,           S,.,.,           S,           S,           S,.,.,.,           S,           S,.,           S,.,.,.,           S,           S,           S,.,.,.,           S,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.
    4 or more                                                 ,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,           S,           S,.,.,           S,.,.,           S,.,.,           S,           S,           S,           S,.,           S,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,           S,           S,           S,.,.,           S,.,           S,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.
